instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
188,8622,6636,76.97,0.000384
189,2089,1389,66.49,0.000293
190,6917,4735,68.45,0.00057
191,962,657,68.3,0.000576
192,3441,2751,79.95,0.000514
193,5347,4048,75.71,0.000556
194,2742,1920,70.02,0.000282
195,26362,18401,69.8,0.00355
196,5104,3881,76.04,0.000573
197,6440,4649,72.19,0.000521
198,584,445,76.2,0.000284
199,6066,4357,71.83,0.000501
200,10243,7378,72.03,0.003381
201,3018,1955,64.78,0.00054
202,18014,12730,70.67,0.003366
203,8305,5924,71.33,0.000393
204,2701,1882,69.68,0.000381
205,12230,7663,62.66,0.00101
206,7080,5038,71.16,0.000482
207,4712,3044,64.6,0.000505
208,10412,6763,64.95,0.001035
209,10264,7435,72.44,0.000523
210,5729,4133,72.14,0.000522
211,16643,11212,67.37,0.001329
212,13494,9828,72.83,0.003326
213,6920,4472,64.62,0.000282
214,6092,4077,66.92,0.00028
215,5775,3911,67.72,0.000285
216,9122,6095,66.82,0.000635
217,6906,4690,67.91,0.000381
218,4448,2867,64.46,0.000378
219,14797,10660,72.04,0.000634
220,6705,4450,66.37,0.00038
221,2190,1584,72.33,0.0005
222,11357,7586,66.8,0.000492
223,2070,1577,76.18,0.000496
224,6830,5021,73.51,0.000655
225,10553,6805,64.48,0.000382
226,3155,2240,71.0,0.000281
227,7111,5523,77.67,0.003423
228,3211,2168,67.52,0.000296
229,2154,1511,70.15,0.000649
230,7998,5815,72.71,0.000648
231,5997,4159,69.35,0.00066
232,1436,1224,85.24,0.001359
233,1967,1321,67.16,0.000282
234,5241,3350,63.92,0.000281
235,5977,4054,67.83,0.00028
236,10928,8151,74.59,0.000505
237,3289,2429,73.85,0.000521
238,28049,20686,73.75,0.003425
239,2949,1956,66.33,0.000298
240,14481,10081,69.62,0.001025
241,6922,4659,67.31,0.000564
242,10120,6940,68.58,0.001023
243,9695,6555,67.61,0.000387
244,9402,6753,71.83,0.000579
245,610,474,77.7,0.000658
246,1358,1125,82.84,0.000568
247,8492,5582,65.73,0.000392
248,26347,19358,73.47,0.003423
249,4826,2993,62.02,0.000298
250,1877,1248,66.49,0.000299
251,4982,3408,68.41,0.000649
252,4262,2733,64.12,0.000284
253,3617,2199,60.8,0.000377
254,9107,6018,66.08,0.000511
255,985,808,82.03,0.000565
256,2406,1592,66.17,0.000382
257,17428,13311,76.38,0.003467
258,965,721,74.72,0.000682
259,14428,11023,76.4,0.001386
260,14056,9591,68.23,0.000649
261,3117,2022,64.87,0.000382
262,17001,13630,80.17,0.001369
263,4968,3490,70.25,0.000645
264,2933,1794,61.17,0.000288
265,4077,2820,69.17,0.000644
266,5484,3755,68.47,0.000285
267,11854,7748,65.36,0.000513
268,29006,22188,76.49,0.00346
269,21587,15629,72.4,0.003513
270,12900,8791,68.15,0.000613
271,11783,8249,70.01,0.001076
272,547,427,78.06,0.000299
273,11012,8045,73.06,0.000562
274,20261,14593,72.03,0.00349
275,334,258,77.25,0.000281
276,7870,5259,66.82,0.000389
277,18325,13451,73.4,0.003414
278,3051,2493,81.71,0.000575
279,8996,6723,74.73,0.000571
280,7105,4455,62.7,0.000388
281,1848,1345,72.78,0.000565
282,11791,8361,70.91,0.000509
283,9079,5649,62.22,0.000292
284,9197,6393,69.51,0.000495
285,2870,1793,62.47,0.000377
286,7757,5499,70.89,0.001403
287,16498,11593,70.27,0.003441
288,8219,5582,67.92,0.000292
289,12015,8607,71.64,0.00105
290,3721,2474,66.49,0.000401
291,14040,10816,77.04,0.003408
292,5909,3765,63.72,0.000659
293,9765,6416,65.7,0.00039
294,23888,17668,73.96,0.003449
295,8023,5579,69.54,0.00051
296,1998,1647,82.43,0.001374
297,8349,5347,64.04,0.000385
298,6340,4333,68.34,0.000391
299,11096,7386,66.56,0.000405
300,11206,8336,74.39,0.001364
301,11542,7875,68.23,0.000529
302,5040,3202,63.53,0.000289
303,7581,5022,66.24,0.000653
304,4305,2930,68.06,0.000393
305,27665,17597,63.61,0.003383
306,5881,4103,69.77,0.000495
307,5108,3784,74.08,0.000501
308,5722,4423,77.3,0.000385
309,6153,3748,60.91,0.000384
310,8778,5749,65.49,0.000292
311,7279,4271,58.68,0.000286
312,6158,4131,67.08,0.000387
313,18267,14102,77.2,0.00134
314,4392,2659,60.54,0.000513
315,20808,14099,67.76,0.003384
316,2696,1959,72.66,0.000583
317,3956,2853,72.12,0.001031
318,12650,8550,67.59,0.001207
319,7795,5406,69.35,0.000518
320,6304,4579,72.64,0.000525
321,13875,10469,75.45,0.001357
322,10249,7455,72.74,0.000557
323,15810,12490,79.0,0.001331
324,6840,4896,71.58,0.001512
325,4236,2817,66.5,0.000406
326,5661,3842,67.87,0.000376
327,2769,2169,78.33,0.00049
328,9448,5637,59.66,0.000373
329,1901,1473,77.49,0.001354
330,1738,1477,84.98,0.001345
331,10867,6761,62.22,0.000507
332,2644,1757,66.45,0.000539
333,868,665,76.61,0.001037
334,8745,6315,72.21,0.000656
335,3593,2368,65.91,0.000283
336,1665,1136,68.23,0.00028
337,23416,16609,70.93,0.001344
338,4393,3293,74.96,0.001017
339,3615,2622,72.53,0.000657
340,2171,1547,71.26,0.000379
341,14772,10326,69.9,0.001032
342,21119,16627,78.73,0.003465
343,7426,5498,74.04,0.000382
344,1281,942,73.54,0.000527
345,4157,3125,75.17,0.000649
346,10411,7170,68.87,0.001028
347,8484,5732,67.56,0.000369
348,13123,10624,80.96,0.003353
349,5559,3894,70.05,0.000523
350,7514,4685,62.35,0.000296
351,1530,1044,68.24,0.001023
352,7448,5548,74.49,0.000481
353,3491,2559,73.3,0.000634
354,8485,6398,75.4,0.001342
355,20312,14947,73.59,0.001323
356,31253,22617,72.37,0.003393
357,10202,7324,71.79,0.000641
358,1353,954,70.51,0.000383
359,5145,3325,64.63,0.000481
360,2897,2110,72.83,0.00038
361,13077,9407,71.94,0.001018
362,6262,4142,66.15,0.000391
363,7817,5482,70.13,0.000482
364,25762,19770,76.74,0.003518
365,9296,7151,76.93,0.000562
366,3353,2168,64.66,0.000294
367,12394,8672,69.97,0.00051
368,8266,5328,64.46,0.000382
369,4923,3690,74.95,0.000584
370,3444,2518,73.11,0.003421
371,9923,7041,70.96,0.001014
372,1098,792,72.13,0.001041
373,8883,5277,59.41,0.000296
374,4972,3429,68.97,0.000384
375,954,722,75.68,0.000644
376,11689,7354,62.91,0.000646
377,1747,1322,75.67,0.000561
378,9224,6609,71.65,0.000486
379,1234,958,77.63,0.00104
380,9781,7119,72.78,0.000492
381,3917,2883,73.6,0.00065
382,4986,3741,75.03,0.000654
383,6947,4252,61.21,0.000643
384,13269,8706,65.61,0.000649
385,8350,5341,63.96,0.00039
386,6578,4202,63.88,0.000564
387,6397,4743,74.14,0.000294
388,7570,6362,84.04,0.000571
389,3049,2342,76.81,0.00065
390,3617,3001,82.97,0.000563
391,6106,3964,64.92,0.00038
392,12904,8798,68.18,0.000653
393,10954,7929,72.38,0.001021
394,4485,2814,62.74,0.000281
395,6448,4187,64.93,0.000381
396,1080,763,70.65,0.000396
397,2703,2310,85.46,0.00139
398,2564,1666,64.98,0.000291
399,9811,7432,75.75,0.001021
400,18443,13448,72.92,0.001374
401,1388,946,68.16,0.000375
402,6873,4920,71.58,0.001018
403,1711,1197,69.96,0.00038
404,5767,4274,74.11,0.001372
405,21366,15693,73.45,0.003404
406,13459,7989,59.36,0.000489
407,4889,3378,69.09,0.000489
408,12249,8686,70.91,0.001027
409,5201,3304,63.53,0.000292
410,1382,1205,87.19,0.001377
411,7040,4829,68.59,0.00104
412,1379,967,70.12,0.000512
413,8957,5861,65.43,0.000529
414,2928,1769,60.42,0.0004
415,6087,3770,61.94,0.000531
416,4806,3432,71.41,0.000527
417,7043,4586,65.11,0.001045
418,10006,6928,69.24,0.000519
419,9785,7356,75.18,0.001045
420,11804,8401,71.17,0.001063
421,2380,1612,67.73,0.000402
422,7944,5514,69.41,0.000399
423,6510,4778,73.39,0.001392
424,11282,8575,76.01,0.001671
425,14884,10119,67.99,0.003488
426,15151,11979,79.06,0.003428
427,7127,4898,68.72,0.000689
428,7380,5457,73.94,0.000596
429,8758,6777,77.38,0.00347
430,5697,3531,61.98,0.0003
431,4786,3458,72.25,0.000387
432,7397,5239,70.83,0.000525
433,1316,935,71.05,0.000675
434,10447,7191,68.83,0.000655
435,15423,10880,70.54,0.001034
436,2481,1895,76.38,0.003425
437,7471,4850,64.92,0.000386
438,9175,5368,58.51,0.000282
439,1364,926,67.89,0.000386
440,10290,7198,69.95,0.000482
441,2945,1908,64.79,0.000424
442,2956,2201,74.46,0.000499
443,6352,4871,76.68,0.001363
444,5843,4333,74.16,0.001359
445,7495,4666,62.25,0.001067
446,21507,16005,74.42,0.003315
447,8748,5214,59.6,0.000483
448,2635,1769,67.13,0.000501
449,6930,4871,70.29,0.000507
450,4314,2882,66.81,0.00103
451,29771,22931,77.02,0.003367
452,3686,2311,62.7,0.000359
453,21802,16070,73.71,0.003402
454,5844,4162,71.22,0.000569
455,2863,2101,73.38,0.00102
456,5303,3332,62.83,0.000279
457,2983,2044,68.52,0.000713
458,8907,6283,70.54,0.000572
459,3710,2370,63.88,0.000385
460,7497,5043,67.27,0.00064
461,5029,3459,68.78,0.000514
462,8313,5707,68.65,0.001016
463,1515,1167,77.03,0.000561
464,1305,927,71.03,0.000577
465,10638,7964,74.86,0.000567
466,8410,6503,77.32,0.000521
467,6872,4385,63.81,0.000469
468,4264,3003,70.43,0.001039
469,6832,4489,65.71,0.000519
470,5418,3949,72.89,0.000568
471,778,541,69.54,0.00052
472,5203,3169,60.91,0.000385
473,9385,7163,76.32,0.000558
474,1621,1187,73.23,0.00065
475,5851,3875,66.23,0.000571
476,10457,7474,71.47,0.000582
477,20730,14542,70.15,0.001503
478,1709,1256,73.49,0.00104
479,7294,5090,69.78,0.000484
480,6674,4357,65.28,0.000377
481,2485,1621,65.23,0.000296
482,816,590,72.3,0.00029
483,7193,4708,65.45,0.000559
484,21067,14722,69.88,0.00334
485,7640,4998,65.42,0.000286
486,18981,13985,73.68,0.003659
487,6510,4846,74.44,0.000527
488,4986,3369,67.57,0.001019
489,11043,7774,70.4,0.000637
490,8212,5685,69.23,0.000285
491,8092,6350,78.47,0.003371
492,3701,2504,67.66,0.000497
493,7585,5450,71.85,0.000572
494,6785,4333,63.86,0.000553
495,4088,3094,75.68,0.000564
496,18824,13524,71.84,0.003452
497,3470,2754,79.37,0.000645
498,10652,6942,65.17,0.000643
499,6966,4749,68.17,0.000414
500,8352,5193,62.18,0.000388
501,31278,21537,68.86,0.003646
502,5507,3672,66.68,0.000511
503,12818,10127,79.01,0.001345
504,7962,6064,76.16,0.000508
505,4542,3259,71.75,0.000635
506,8236,5480,66.54,0.000282
507,7437,5855,78.73,0.00343
508,9251,7099,76.74,0.001364
509,948,699,73.73,0.000657
510,24120,18287,75.82,0.003434
511,9459,7031,74.33,0.003502
512,20612,15122,73.37,0.001359
513,8459,6585,77.85,0.001039
514,2765,1791,64.77,0.00067
515,6186,4436,71.71,0.000497
516,3712,2602,70.1,0.000395
517,11598,8385,72.3,0.000487
518,10113,6524,64.51,0.000514
519,1382,905,65.48,0.000378
520,5796,4381,75.59,0.003547
521,1149,1001,87.12,0.001394
522,11633,7479,64.29,0.000524
523,5406,3200,59.19,0.000379
524,2402,1647,68.57,0.000391
525,1698,1160,68.32,0.000515
526,8657,5817,67.19,0.000527
527,5500,3628,65.96,0.000398
528,7701,5479,71.15,0.001401
529,1480,1152,77.84,0.000654
530,5278,4028,76.32,0.000654
531,8187,5732,70.01,0.000385
532,8344,5530,66.28,0.000281
533,11166,8939,80.06,0.000565
534,11010,7758,70.46,0.000484
535,1749,1231,70.38,0.001032
536,8302,5936,71.5,0.000728
537,727,571,78.54,0.001042
538,9067,6270,69.15,0.000519
539,607,502,82.7,0.00056
540,3207,2034,63.42,0.000376
541,28931,20472,70.76,0.00363
542,6209,4586,73.86,0.000525
543,8155,5717,70.1,0.00039
544,7372,4902,66.49,0.00039
545,3788,2582,68.16,0.000374
546,19441,13245,68.13,0.003393
547,7323,4949,67.58,0.000495
548,4373,3706,84.75,0.003452
549,8885,6668,75.05,0.001038
550,18413,13813,75.02,0.001357
551,8888,5441,61.22,0.000395
552,4207,2840,67.51,0.000298
553,10431,6882,65.98,0.000392
554,1793,1358,75.74,0.000573
555,4509,3421,75.87,0.00136
556,3642,2484,68.2,0.000513
557,1239,972,78.45,0.000646
558,11761,8473,72.04,0.000653
559,8772,6113,69.69,0.000421
560,7379,4716,63.91,0.000385
561,2817,1742,61.84,0.000404
562,7947,6124,77.06,0.000489
563,2327,1706,73.31,0.000515
564,4103,2847,69.39,0.000573
565,1500,1100,73.33,0.000485
566,4807,3436,71.48,0.000571
567,6821,5185,76.02,0.000508
568,774,590,76.23,0.001031
569,6865,4901,71.39,0.000665
570,1645,1147,69.73,0.000488
571,3388,2014,59.45,0.000391
572,6849,4852,70.84,0.000642
573,18579,14330,77.13,0.003356
574,3278,2490,75.96,0.000385
575,3865,2714,70.22,0.000386
576,1224,918,75.0,0.000523
577,14942,11158,74.68,0.001336
578,5134,3607,70.26,0.00028
579,15586,11472,73.6,0.001332
580,26794,21582,80.55,0.003357
581,580,475,81.9,0.000573
582,12102,9024,74.57,0.001028
583,11644,8188,70.32,0.000483
584,7818,5636,72.09,0.000381
585,8261,5801,70.22,0.000644
586,1924,1376,71.52,0.001032
587,3642,2742,75.29,0.001038
588,7276,5086,69.9,0.000296
589,3249,2449,75.38,0.000568
590,8919,6088,68.26,0.000483
591,550,430,78.18,0.000371
592,9968,6372,63.92,0.000386
593,14565,11625,79.81,0.003627
594,1234,936,75.85,0.000487
595,10049,6376,63.45,0.000482
596,4737,3387,71.5,0.000481
597,7729,4792,62.0,0.000381
598,10908,6554,60.08,0.000509
599,3908,2640,67.55,0.000514
600,5307,3597,67.78,0.00102
601,8596,5771,67.14,0.000375
602,6278,4442,70.76,0.000517
603,10647,6531,61.34,0.000465
604,7848,5092,64.88,0.000411
605,9957,7224,72.55,0.000648
606,2083,1466,70.38,0.00071
607,1708,1114,65.22,0.000565
608,7825,5645,72.14,0.000406
609,1012,674,66.6,0.000373
610,4418,2854,64.6,0.000564
611,16500,12547,76.04,0.004629
612,1512,1018,67.33,0.000415
613,11276,8204,72.76,0.001984
614,20906,16063,76.83,0.001982
615,8706,5587,64.17,0.000547
616,12739,8475,66.53,0.001474
617,10861,6873,63.28,0.001482
618,19569,12925,66.05,0.002045
619,9349,6180,66.1,0.000558
620,1981,1368,69.06,0.000744
621,9108,6646,72.97,0.001498
622,14464,11414,78.91,0.001505
623,5200,3645,70.1,0.000736
624,26134,19223,73.56,0.004184
625,5959,4549,76.34,0.004098
626,11029,7117,64.53,0.000721
627,6619,4446,67.17,0.0007
628,11053,8123,73.49,0.002076
629,4121,2771,67.24,0.000423
630,2812,1913,68.03,0.000426
631,5965,3876,64.98,0.000539
632,8255,5860,70.99,0.00058
633,11128,7577,68.09,0.000719
634,13110,9509,72.53,0.00112
635,4745,3387,71.38,0.000289
636,1277,973,76.19,0.000518
