sample_no,instance_id,raw_result,accuracy,time_required
1,40x40_276.jsp,8725,83.37,0.0504
2,40x20_1470.jsp,9106,87.92,3.0183
3,30x20_1769.jsp,4819,90.43,3.0191
4,50x20_564.jsp,7487,84.05,0.0347
5,30x15_231.jsp,5489,76.95,3.0275
6,40x15_792.jsp,1143,81.36,3.0236
7,40x40_1508.jsp,4412,87.47,0.0466
8,30x30_2385.jsp,3313,93.42,3.0167
9,100x50_81.jsp,9037,90.64,0.3663
10,40x20_569.jsp,8066,88.12,3.0175
11,40x15_924.jsp,8254,76.23,3.021
12,50x15_681.jsp,603,90.22,3.0202
13,30x20_2098.jsp,5381,88.4,3.0199
14,40x15_691.jsp,5016,77.25,3.0222
15,40x20_570.jsp,2042,85.65,3.0162
16,50x20_805.jsp,8563,85.37,0.0346
17,50x20_845.jsp,6671,93.19,0.0347
18,100x50_3534.jsp,9183,92.37,0.3443
19,50x15_457.jsp,5341,90.11,3.0191
20,50x15_971.jsp,2294,84.44,3.0192
21,50x15_754.jsp,9078,87.61,3.0193
22,40x40_1659.jsp,12608,84.64,0.0467
23,40x15_497.jsp,528,89.77,3.024
24,30x30_418.jsp,5788,98.24,0.0203
25,50x15_184.jsp,7372,89.98,3.0177
26,30x15_509.jsp,1060,76.23,3.0268
27,30x20_1598.jsp,4156,81.16,3.0197
28,50x20_361.jsp,2027,86.88,0.0353
29,100x50_747.jsp,10429,92.12,0.3453
30,30x30_2098.jsp,9281,89.28,3.0123
31,40x40_1083.jsp,1645,82.19,0.0473
32,50x20_319.jsp,8153,85.69,0.0353
33,50x20_127.jsp,2259,86.9,0.035
34,40x40_1459.jsp,11173,92.85,0.0467
35,30x15_602.jsp,3453,81.0,3.0248
36,30x20_2029.jsp,2833,85.28,3.0195
37,50x20_887.jsp,6673,83.56,0.0355
38,30x15_329.jsp,5928,79.18,3.0246
39,40x40_1069.jsp,1226,87.44,0.0465
40,100x20_634.jsp,6336,90.91,0.1332
41,100x20_853.jsp,10536,96.02,0.1331
42,50x15_383.jsp,4055,88.46,3.024
43,40x20_504.jsp,3311,91.85,3.017
44,30x15_57.jsp,3983,75.95,3.0243
45,40x15_775.jsp,433,87.76,3.0236
46,40x20_1215.jsp,1195,94.81,3.0153
47,30x30_1355.jsp,6296,97.13,0.0197
48,100x20_491.jsp,10094,92.88,0.134
49,40x40_1996.jsp,1503,87.09,0.0463
50,100x20_1569.jsp,14135,92.59,0.1341
51,30x30_1008.jsp,4353,90.12,3.013
52,50x15_789.jsp,5766,84.32,3.0187
53,30x30_2372.jsp,7237,88.16,3.0117
54,50x20_678.jsp,4292,93.34,0.0349
55,100x20_456.jsp,12965,94.01,0.1342
56,50x20_99.jsp,8200,85.33,0.0349
57,50x15_774.jsp,5247,92.4,3.0181
58,50x20_607.jsp,11471,78.46,0.035
59,40x15_478.jsp,7600,81.5,3.0322
60,100x50_3275.jsp,16755,93.22,0.3408
61,100x20_326.jsp,18189,91.52,0.136
62,100x20_460.jsp,13877,91.1,0.1323
63,30x20_1397.jsp,5676,86.03,3.0182
64,50x15_177.jsp,2187,86.92,3.0169
65,100x50_3138.jsp,2181.0,100.0,0.3458
66,40x20_608.jsp,10019,79.88,3.0153
67,30x15_382.jsp,3446,76.64,3.0472
68,100x20_1631.jsp,11157,96.67,0.1323
69,30x15_142.jsp,6414,78.86,3.0241
70,100x20_414.jsp,13658,89.97,0.1329
71,40x20_1598.jsp,4617,84.84,3.0149
72,30x30_1885.jsp,8191,86.03,3.0122
73,50x15_914.jsp,8569,87.1,3.0173
74,50x15_561.jsp,9389,84.89,3.0163
75,30x20_423.jsp,7785,77.6,3.0173
76,30x15_106.jsp,3726,72.14,3.0221
77,100x50_2793.jsp,21006,94.49,0.344
78,30x30_918.jsp,6085,94.25,3.0122
79,50x15_863.jsp,6791,91.33,3.0154
80,40x40_851.jsp,10065,85.53,0.0486
81,100x50_1452.jsp,7601,86.54,0.3459
82,30x15_38.jsp,2046,76.15,3.0237
83,40x20_1814.jsp,5328,83.82,3.0141
84,50x15_246.jsp,9191,91.09,3.0151
85,40x15_83.jsp,4398,84.65,3.0192
86,30x20_1198.jsp,6404,78.48,3.0183
87,30x20_1636.jsp,4865,77.99,3.0185
88,40x20_655.jsp,2764,81.51,3.0155
89,40x40_85.jsp,7840,88.61,0.047
90,50x20_935.jsp,4443,85.12,0.0348
91,50x15_534.jsp,3052,82.04,3.0174
92,100x50_1945.jsp,17661,93.72,0.3433
93,40x20_360.jsp,2495,89.5,3.0157
94,30x30_2118.jsp,1320,93.33,3.012
95,30x30_1988.jsp,2286,84.08,3.0116
96,50x20_509.jsp,1960,88.27,0.0356
97,30x15_824.jsp,5300,73.08,3.0235
98,50x15_838.jsp,827,86.09,3.0184
99,40x20_1934.jsp,5457,88.73,3.0148
100,100x50_1519.jsp,9013,92.88,0.3428
101,50x15_233.jsp,3063,94.42,3.0177
102,40x40_1942.jsp,5131,84.56,0.0471
103,40x20_1357.jsp,675,90.81,3.0173
104,100x20_237.jsp,15524,92.85,0.133
105,30x20_1805.jsp,1581,81.59,3.019
106,40x20_1.jsp,524,84.16,3.0174
107,40x20_1530.jsp,2130,85.82,3.015
108,40x40_1841.jsp,1627,87.15,0.0477
109,30x20_1888.jsp,7309,78.86,3.0312
110,40x20_968.jsp,8424,92.11,3.0135
111,30x30_143.jsp,9856,90.41,3.0115
112,30x30_157.jsp,4178.0,100.0,0.02
113,50x15_891.jsp,8408,90.57,3.0176
114,40x40_1284.jsp,7907,90.57,0.0467
115,30x30_603.jsp,3280,88.02,3.0105
116,40x20_1906.jsp,3763,88.52,3.0155
117,50x15_603.jsp,953,88.98,3.0187
118,40x20_1599.jsp,2941,84.53,3.014
119,50x20_701.jsp,7584,89.65,0.0358
120,40x20_137.jsp,1062,84.93,3.0153
121,40x15_339.jsp,6518,80.45,3.0175
122,50x15_182.jsp,3356,82.96,3.0162
123,50x15_884.jsp,2254,83.58,3.0171
124,100x50_1306.jsp,7646,89.86,0.3426
125,100x50_1692.jsp,7581,95.7,0.3455
126,30x30_1172.jsp,6162,80.64,3.011
127,30x15_170.jsp,5958,80.26,3.0226
128,50x15_347.jsp,7648,87.46,3.0151
129,30x15_392.jsp,1876,80.54,3.0226
130,30x30_271.jsp,3279,96.0,0.0203
